Store,ST_AS,Sales,Customers,Promo,StateHoliday,SchoolHoliday,Promo2,PromoInterval
1,2,3945.705,467.646,0.382,0.044,0.205,0,0
2,0,4122.992,486.046,0.382,0.041,0.177,1,0
3,0,5741.254,620.287,0.382,0.046,0.18,1,0
4,10,8021.77,1100.057,0.382,0.04,0.184,0,0
5,0,3867.11,444.361,0.382,0.048,0.183,0,0
6,0,4562.376,525.99,0.382,0.048,0.183,0,0
7,8,7356.902,791.475,0.382,0.04,0.169,0,0
8,0,4610.252,547.799,0.382,0.04,0.169,0,0
9,8,5426.816,479.487,0.382,0.046,0.18,0,0
10,0,4634.439,494.332,0.382,0.04,0.222,0,0
11,8,6683.955,940.544,0.382,0.04,0.169,1,0
12,8,6316.608,746.508,0.382,0.04,0.169,1,0
13,3,4124.773,313.641,0.377,0.051,0.164,1,1
14,0,4555.386,522.201,0.382,0.046,0.18,1,0
15,11,5553.62,552.131,0.382,0.04,0.169,1,0
16,8,6335.341,703.158,0.382,0.049,0.165,0,0
17,0,5259.541,657.208,0.382,0.041,0.177,1,0
18,11,5446.005,592.128,0.382,0.041,0.177,1,0
19,8,5346.252,516.58,0.382,0.046,0.18,1,2
20,3,6334.489,692.953,0.377,0.051,0.164,1,0
21,10,4522.041,425.916,0.382,0.049,0.165,1,0
22,0,3695.918,411.78,0.377,0.051,0.164,1,0
23,3,4565.073,398.958,0.382,0.046,0.159,0,0
24,8,7763.774,690.87,0.382,0.046,0.18,1,0
25,2,8892.311,1250.289,0.382,0.046,0.18,0,0
26,3,5538.499,461.623,0.382,0.041,0.177,0,0
27,0,7838.438,888.787,0.382,0.046,0.18,1,0
28,0,4332.219,475.792,0.382,0.046,0.178,1,2
29,11,6090.403,540.587,0.382,0.046,0.18,0,0
30,0,4367.352,641.006,0.382,0.046,0.18,1,2
31,11,4879.133,487.754,0.382,0.04,0.169,0,0
32,0,3332.608,390.941,0.377,0.051,0.164,1,1
33,8,6976.813,691.598,0.382,0.046,0.18,0,0
34,2,6684.379,826.828,0.382,0.04,0.184,0,0
35,11,8024.09,603.398,0.382,0.046,0.18,1,0
36,8,7683.619,894.694,0.377,0.051,0.164,1,0
37,2,5890.714,646.763,0.382,0.046,0.178,0,0
38,3,4965.623,442.711,0.382,0.046,0.18,0,0
39,0,4012.901,520.67,0.382,0.046,0.18,1,1
40,0,4038.445,546.842,0.382,0.046,0.18,1,1
41,11,4377.846,326.558,0.377,0.051,0.164,1,0
42,8,8416.951,909.701,0.382,0.046,0.18,1,0
43,3,5642.304,504.58,0.382,0.046,0.18,1,0
44,0,4559.601,532.703,0.382,0.04,0.184,0,0
45,3,4422.992,343.505,0.382,0.046,0.159,0,0
46,2,4391.985,541.995,0.377,0.051,0.164,1,0
47,8,5946.667,766.231,0.382,0.04,0.179,1,0
48,0,3274.962,357.239,0.382,0.04,0.179,0,0
49,11,6024.73,438.574,0.382,0.049,0.165,0,0
50,3,3519.617,296.714,0.382,0.046,0.159,0,0
51,8,5477.609,407.818,0.377,0.051,0.164,1,0
52,11,6078.815,413.161,0.377,0.051,0.164,1,0
53,8,4381.751,471.656,0.382,0.04,0.169,0,0
54,11,6589.616,608.732,0.382,0.046,0.178,1,1
55,0,3808.081,462.837,0.382,0.048,0.183,0,0
56,11,6070.372,420.296,0.382,0.044,0.205,1,2
57,11,8657.785,808.027,0.382,0.048,0.183,0,0
58,8,5207.687,421.756,0.377,0.051,0.164,1,0
59,8,4566.907,468.217,0.382,0.041,0.177,1,0
60,11,6651.601,590.774,0.382,0.048,0.183,0,0
61,8,3894.902,471.593,0.382,0.049,0.165,1,0
62,0,5378.463,593.746,0.382,0.046,0.18,0,0
63,10,5789.605,531.699,0.382,0.04,0.169,1,1
64,11,8566.953,655.661,0.382,0.046,0.18,1,0
65,8,4233.607,377.497,0.382,0.046,0.178,1,0
66,3,5043.374,432.263,0.382,0.049,0.165,1,0
67,8,6457.621,658.489,0.382,0.049,0.165,0,0
68,8,6294.682,958.739,0.382,0.04,0.169,1,2
69,10,7815.349,981.36,0.382,0.044,0.205,1,0
70,10,5485.645,563.752,0.382,0.04,0.222,0,0
71,0,7493.201,617.676,0.382,0.046,0.18,1,2
72,0,3632.818,390.288,0.377,0.051,0.164,1,0
73,8,3809.29,411.255,0.382,0.04,0.169,0,0
74,0,5154.082,703.691,0.382,0.046,0.18,0,0
75,11,5013.151,534.435,0.382,0.04,0.169,0,0
76,11,7396.726,762.802,0.377,0.051,0.164,0,0
77,11,6318.878,549.547,0.382,0.044,0.205,1,0
78,0,3078.162,409.756,0.382,0.046,0.178,1,1
79,0,4515.377,462.313,0.382,0.049,0.165,0,0
80,3,6298.383,477.775,0.382,0.046,0.159,0,0
81,0,5732.319,460.755,0.377,0.051,0.164,1,0
82,0,7458.928,693.459,0.382,0.046,0.18,1,0
83,0,3214.993,285.997,0.382,0.046,0.18,0,0
84,8,10714.142,1151.391,0.382,0.046,0.18,0,0
85,1,7272.454,1015.401,0.382,0.04,0.184,0,0
86,0,3877.63,499.638,0.382,0.046,0.18,1,0
87,0,4881.409,613.757,0.382,0.04,0.184,0,0
88,0,4988.384,507.986,0.382,0.046,0.178,0,0
89,0,4899.964,512.186,0.377,0.051,0.164,1,0
90,0,6951.429,873.029,0.382,0.046,0.18,0,0
91,2,4591.193,507.047,0.382,0.049,0.165,1,0
92,2,4959.041,452.397,0.382,0.046,0.18,1,1
93,0,4932.985,499.118,0.382,0.046,0.18,1,0
94,11,5888.929,529.376,0.382,0.046,0.18,0,0
95,0,6324.909,698.621,0.382,0.048,0.183,0,0
96,0,4286.596,449.431,0.382,0.048,0.183,1,0
97,11,5550.583,570.369,0.382,0.048,0.183,0,0
98,11,4225.673,373.445,0.382,0.046,0.18,1,0
99,10,4210.005,381.997,0.377,0.051,0.164,1,2
100,3,6367.327,548.613,0.377,0.051,0.164,0,0
101,11,6216.968,646.805,0.382,0.04,0.169,1,2
102,0,5779.359,858.565,0.382,0.046,0.18,1,2
103,11,3141.266,282.42,0.382,0.04,0.184,0,0
104,0,8428.031,1092.255,0.382,0.04,0.184,0,0
105,8,3554.98,412.258,0.382,0.049,0.165,1,2
106,0,7131.99,679.275,0.382,0.04,0.184,0,0
107,0,6106.036,795.079,0.382,0.04,0.222,0,0
108,11,9055.401,696.493,0.377,0.051,0.164,0,0
109,8,5380.074,617.859,0.382,0.04,0.169,0,0
110,8,3773.878,488.909,0.382,0.04,0.169,0,0
111,11,5614.366,495.524,0.382,0.044,0.205,1,0
112,0,5184.594,645.838,0.382,0.04,0.222,0,0
113,11,5907.422,573.843,0.377,0.051,0.164,0,0
114,2,4449.791,506.125,0.382,0.041,0.177,1,2
115,11,6049.065,452.997,0.377,0.051,0.164,1,0
116,0,6063.3,630.263,0.382,0.04,0.184,0,0
117,0,3210.238,406.92,0.382,0.046,0.18,0,0
118,11,6459.89,560.804,0.382,0.04,0.169,0,0
119,8,4997.863,553.431,0.382,0.04,0.169,0,0
120,3,5894.894,529.12,0.382,0.044,0.205,1,0
121,0,3687.34,417.418,0.382,0.048,0.183,1,2
122,8,6071.001,745.749,0.382,0.04,0.169,0,0
123,0,6847.759,782.494,0.382,0.046,0.178,0,0
124,0,3658.609,434.721,0.382,0.046,0.18,0,0
125,0,9851.475,1309.947,0.382,0.04,0.184,0,0
126,3,5381.677,449.713,0.382,0.046,0.18,1,1
127,3,4305.237,542.247,0.377,0.051,0.164,1,0
128,11,6180.572,493.044,0.382,0.044,0.205,1,0
129,0,7556.004,956.356,0.377,0.051,0.164,1,0
130,2,4245.807,475.685,0.382,0.044,0.205,1,0
131,2,4362.569,462.188,0.382,0.046,0.18,0,0
132,11,5155.917,477.91,0.377,0.051,0.164,1,0
133,0,5369.202,629.939,0.382,0.041,0.177,1,2
134,0,3933.226,411.639,0.382,0.04,0.184,0,0
135,3,4935.071,447.525,0.382,0.044,0.205,1,0
136,8,4504.017,347.91,0.377,0.051,0.164,1,1
137,0,6790.289,785.526,0.377,0.051,0.164,1,0
138,8,6073.499,591.577,0.382,0.048,0.183,0,0
139,0,5304.355,421.627,0.377,0.051,0.164,1,0
140,8,6192.493,798.918,0.382,0.044,0.205,1,0
141,10,4570.229,504.719,0.382,0.049,0.165,1,2
142,0,3807.313,470.324,0.382,0.046,0.18,0,0
143,3,5222.075,481.328,0.382,0.046,0.159,0,0
144,8,6363.956,600.997,0.377,0.051,0.164,0,0
145,0,6691.42,1016.905,0.377,0.051,0.164,1,1
146,11,6460.929,580.878,0.382,0.046,0.18,1,0
147,11,6791.489,727.411,0.382,0.046,0.18,0,0
148,0,7189.967,682.028,0.382,0.04,0.184,0,0
149,3,4568.569,398.982,0.377,0.051,0.164,1,0
150,10,7005.432,682.793,0.382,0.04,0.169,0,0
151,11,5593.945,539.879,0.382,0.046,0.178,0,0
152,0,4582.984,513.878,0.382,0.046,0.18,0,0
153,0,5843.999,524.195,0.382,0.046,0.18,1,1
154,11,7244.209,611.394,0.382,0.044,0.205,0,0
155,3,5660.302,542.707,0.377,0.051,0.164,1,0
156,0,5779.172,591.581,0.382,0.041,0.177,1,2
157,8,8040.397,818.554,0.382,0.046,0.18,0,0
158,11,6745.433,430.008,0.382,0.046,0.159,1,1
159,3,6368.579,572.02,0.377,0.051,0.164,0,0
160,11,4751.214,463.613,0.382,0.044,0.205,0,0
161,8,5997.637,677.464,0.382,0.046,0.18,0,0
162,11,6440.458,460.72,0.382,0.044,0.205,1,0
163,0,6074.507,724.746,0.382,0.04,0.184,0,0
164,0,5104.177,520.619,0.377,0.051,0.164,1,0
165,0,3279.724,346.822,0.377,0.051,0.164,1,0
166,8,4812.307,675.851,0.382,0.046,0.18,1,0
167,0,7697.142,873.72,0.382,0.046,0.178,0,0
168,0,6200.45,603.16,0.382,0.049,0.165,0,0
169,3,5870.169,559.389,0.382,0.046,0.18,1,1
170,0,4142.627,449.672,0.382,0.046,0.18,1,0
171,0,6970.601,717.18,0.382,0.046,0.18,0,0
172,0,5729.024,713.004,0.377,0.051,0.164,1,0
173,0,6851.913,837.712,0.382,0.04,0.184,0,0
174,0,4871.409,393.487,0.377,0.051,0.164,1,0
175,2,4814.316,574.857,0.382,0.04,0.179,0,0
176,0,4364.862,522.64,0.382,0.046,0.18,0,0
177,0,3307.213,401.822,0.382,0.046,0.178,1,1
178,3,8354.715,764.736,0.382,0.048,0.183,0,0
179,8,6032.929,790.438,0.382,0.046,0.18,0,0
180,3,6009.053,701.804,0.382,0.04,0.179,0,0
181,0,5245.938,549.678,0.377,0.051,0.164,1,0
182,11,4398.02,346.387,0.382,0.044,0.205,1,2
183,0,3886.327,484.476,0.377,0.051,0.164,0,0
184,11,5439.245,491.331,0.382,0.046,0.18,0,0
185,11,5967.902,453.778,0.382,0.04,0.184,0,0
186,0,3104.945,312.69,0.377,0.051,0.164,1,0
187,8,5226.445,645.6,0.382,0.04,0.169,0,0
188,3,4124.03,362.409,0.382,0.046,0.159,1,1
189,3,7246.626,692.273,0.382,0.046,0.159,0,0
190,0,5907.322,538.387,0.377,0.051,0.164,1,0
191,0,5611.898,585.778,0.377,0.051,0.164,1,0
192,11,7399.038,529.613,0.377,0.051,0.164,1,0
193,0,4422.826,644.744,0.382,0.049,0.165,0,0
194,11,3983.563,344.495,0.382,0.049,0.165,1,1
195,8,8859.413,1073.763,0.382,0.046,0.18,0,0
196,2,4330.334,578.492,0.382,0.041,0.177,1,0
197,2,5698.289,701.006,0.382,0.04,0.179,0,0
198,0,2407.933,280.987,0.382,0.041,0.177,1,0
199,11,6579.074,516.507,0.382,0.046,0.159,1,2
200,0,6392.054,800.214,0.382,0.046,0.18,0,0
201,3,4341.024,367.35,0.382,0.046,0.18,1,2
202,11,5029.074,422.33,0.382,0.044,0.205,0,0
203,10,5624.456,732.648,0.382,0.046,0.178,0,0
204,0,4501.908,430.131,0.377,0.051,0.164,1,0
205,0,5440.411,731.722,0.382,0.04,0.184,0,0
206,8,5919.037,661.493,0.382,0.046,0.18,1,0
207,0,9308.299,1082.271,0.382,0.04,0.169,0,0
208,2,2443.792,344.121,0.382,0.04,0.184,0,0
209,8,5231.873,540.428,0.382,0.04,0.169,1,0
210,3,2641.31,269.805,0.382,0.046,0.159,1,1
211,8,10814.827,1236.593,0.382,0.04,0.184,0,0
212,8,3974.644,383.476,0.382,0.04,0.169,0,0
213,11,6724.077,539.731,0.382,0.046,0.18,1,0
214,3,7717.124,591.652,0.382,0.046,0.18,1,0
215,3,5172.4,401.67,0.377,0.051,0.164,1,1
216,2,5953.268,731.246,0.382,0.046,0.18,1,1
217,2,3912.416,535.051,0.382,0.04,0.179,0,0
218,8,4118.146,571.451,0.377,0.051,0.164,1,2
219,0,2591.467,336.115,0.382,0.046,0.18,0,0
220,0,4041.817,531.028,0.382,0.046,0.18,0,0
221,11,4845.351,460.038,0.382,0.04,0.169,0,0
222,0,4146.758,467.374,0.382,0.04,0.184,0,0
223,11,6004.362,613.244,0.382,0.041,0.177,1,0
224,11,5468.487,394.818,0.382,0.049,0.165,1,0
225,3,4314.282,461.833,0.382,0.046,0.178,0,0
226,0,6016.926,582.858,0.382,0.044,0.205,0,0
227,0,4908.391,457.503,0.382,0.046,0.18,0,0
228,11,6571.171,490.486,0.382,0.046,0.18,1,1
229,11,7149.403,607.2,0.382,0.046,0.159,1,0
230,11,6293.34,782.524,0.382,0.04,0.169,0,0
231,11,3914.398,323.72,0.377,0.051,0.164,1,1
232,10,2742.273,247.068,0.382,0.046,0.178,1,2
233,0,7819.194,855.341,0.382,0.044,0.205,0,0
234,3,9156.406,847.408,0.382,0.046,0.18,0,0
235,0,4921.003,415.48,0.382,0.044,0.205,1,0
236,0,5925.412,719.739,0.382,0.04,0.184,0,0
237,0,3775.177,478.332,0.382,0.04,0.184,0,0
238,0,6230.229,895.584,0.382,0.046,0.18,1,1
239,11,4193.708,390.383,0.382,0.046,0.18,0,0
240,0,4004.921,382.64,0.382,0.04,0.184,0,0
241,11,5444.091,582.777,0.382,0.046,0.18,0,0
242,3,3393.532,303.318,0.382,0.044,0.205,1,0
243,0,5814.177,783.654,0.377,0.051,0.164,1,1
244,3,4359.008,446.844,0.382,0.046,0.18,1,0
245,8,7376.937,846.296,0.382,0.044,0.205,0,0
246,2,5893.362,780.088,0.382,0.04,0.179,0,0
247,11,7110.84,567.068,0.382,0.044,0.205,1,1
248,8,6959.599,925.932,0.382,0.04,0.169,1,0
249,11,4399.242,447.541,0.382,0.04,0.169,0,0
250,3,7022.884,545.488,0.382,0.044,0.205,1,1
251,8,15814.087,2026.469,0.382,0.046,0.18,0,0
252,11,8778.645,669.535,0.382,0.046,0.18,1,1
253,8,4752.333,571.195,0.382,0.046,0.18,1,1
254,3,2485.84,213.914,0.382,0.046,0.159,1,2
255,10,5185.999,529.557,0.382,0.046,0.18,1,1
256,8,8100.121,1027.413,0.382,0.046,0.18,1,2
257,0,4440.657,526.004,0.382,0.04,0.184,0,0
258,0,4629.794,405.273,0.377,0.051,0.164,1,0
259,5,11520.033,2347.113,0.382,0.044,0.205,0,0
260,0,5459.701,758.573,0.382,0.04,0.184,0,0
261,11,10433.38,784.735,0.382,0.041,0.177,1,0
262,1,20718.516,3402.011,0.382,0.04,0.179,0,0
263,8,3042.315,292.008,0.377,0.051,0.164,1,0
264,0,5851.901,772.011,0.382,0.04,0.184,0,0
265,0,4097.465,416.174,0.382,0.046,0.159,1,0
266,8,3634.831,440.003,0.382,0.048,0.183,1,2
267,2,7731.106,935.902,0.382,0.04,0.169,0,0
268,0,4062.463,497.723,0.382,0.04,0.222,0,0
269,8,7729.389,1018.075,0.382,0.046,0.18,0,0
270,0,7733.156,1002.944,0.382,0.04,0.184,0,0
271,0,6493.12,655.68,0.382,0.048,0.183,1,0
272,0,5171.277,521.961,0.382,0.044,0.205,1,0
273,8,5838.074,581.895,0.382,0.046,0.18,0,0
274,5,4027.614,982.203,0.382,0.044,0.205,1,0
275,3,6108.272,614.859,0.377,0.051,0.164,1,0
276,0,3387.614,431.359,0.382,0.048,0.183,1,2
277,11,5288.247,439.212,0.377,0.051,0.164,1,1
278,8,5944.224,659.658,0.382,0.04,0.169,0,0
279,11,7299.365,548.645,0.377,0.051,0.164,1,0
280,11,5169.68,429.791,0.382,0.049,0.165,1,2
281,11,4877.626,457.462,0.382,0.04,0.169,0,0
282,0,3669.14,533.472,0.382,0.04,0.184,0,0
283,0,5837.74,589.445,0.377,0.051,0.164,1,0
284,3,4442.008,369.206,0.377,0.051,0.164,1,0
285,0,4273.881,389.868,0.382,0.044,0.205,0,0
286,0,4075.13,355.971,0.382,0.041,0.177,0,0
287,2,6689.701,672.054,0.377,0.051,0.164,1,0
288,3,4616.367,346.71,0.377,0.051,0.164,1,2
289,3,5240.848,459.073,0.382,0.044,0.205,0,0
290,0,5800.455,564.573,0.382,0.046,0.18,0,0
291,3,6643.281,695.831,0.382,0.048,0.183,0,0
292,0,4695.279,574.518,0.382,0.04,0.184,0,0
293,10,5201.518,677.748,0.382,0.04,0.184,0,0
294,0,4784.065,635.101,0.382,0.044,0.205,0,0
295,0,4359.639,553.452,0.382,0.049,0.165,1,2
296,0,5773.315,625.801,0.382,0.044,0.205,1,1
297,0,5767.345,593.828,0.382,0.049,0.165,0,0
298,3,6891.741,567.255,0.377,0.051,0.164,0,0
299,11,5838.153,639.337,0.382,0.04,0.169,0,0
300,8,5875.456,729.445,0.382,0.044,0.205,1,0
301,8,4609.488,496.153,0.382,0.04,0.169,0,0
302,11,3102.679,268.076,0.382,0.044,0.205,1,2
303,0,5031.981,548.073,0.382,0.046,0.18,1,1
304,0,5882.249,878.828,0.382,0.04,0.222,0,0
305,10,4433.412,420.727,0.382,0.044,0.205,1,2
306,0,3585.007,383.933,0.377,0.051,0.164,1,0
307,0,2244.503,255.524,0.382,0.041,0.177,0,0
308,0,7625.508,765.131,0.382,0.046,0.18,1,0
309,3,5765.03,488.762,0.382,0.046,0.18,1,1
310,8,7842.907,666.246,0.382,0.04,0.169,1,2
311,8,5503.967,654.281,0.382,0.044,0.205,0,0
312,3,4616.487,446.59,0.382,0.044,0.205,0,0
313,11,5873.712,586.927,0.382,0.041,0.177,0,0
314,0,4248.705,472.41,0.382,0.046,0.18,1,1
315,8,3539.161,374.167,0.382,0.04,0.169,0,0
316,3,8150.246,745.788,0.382,0.046,0.18,0,0
317,3,4414.301,475.377,0.377,0.051,0.164,1,0
318,11,6233.141,545.459,0.382,0.048,0.183,0,0
319,8,6480.964,702.175,0.382,0.04,0.169,1,2
320,8,12346.304,1717.08,0.382,0.04,0.169,0,0
321,10,4933.639,484.779,0.382,0.048,0.183,1,2
322,0,4168.32,454.811,0.382,0.041,0.177,1,0
323,11,6090.886,513.662,0.382,0.046,0.159,1,1
324,0,4709.797,597.615,0.382,0.046,0.178,1,0
325,8,5362.568,556.597,0.382,0.046,0.18,1,1
326,3,4142.183,346.285,0.382,0.046,0.159,1,1
327,10,6382.774,767.662,0.382,0.046,0.178,0,0
328,0,3665.128,430.351,0.382,0.046,0.18,0,0
329,0,5716.567,513.149,0.382,0.046,0.18,1,2
330,8,3445.659,370.111,0.382,0.046,0.18,1,2
331,8,5094.806,678.28,0.382,0.046,0.159,1,0
332,0,3087.348,415.253,0.382,0.046,0.178,0,0
333,8,8133.95,1054.58,0.382,0.04,0.179,0,0
334,11,4489.079,464.869,0.382,0.046,0.18,1,2
335,1,13313.939,2385.282,0.382,0.046,0.18,1,0
336,0,11518.382,1623.188,0.382,0.044,0.205,0,0
337,11,4186.602,318.312,0.382,0.044,0.205,1,1
338,8,5984.312,517.956,0.382,0.044,0.205,1,0
339,8,4119.99,545.219,0.382,0.046,0.159,1,2
340,8,5397.817,595.106,0.382,0.04,0.169,0,0
341,0,4557.84,620.334,0.382,0.046,0.18,0,0
342,11,9097.19,696.154,0.377,0.051,0.164,1,0
343,3,5953.616,580.66,0.382,0.046,0.18,1,0
344,8,7058.587,948.299,0.382,0.04,0.179,1,0
345,0,3741.507,405.677,0.377,0.051,0.164,1,0
346,8,5648.577,512.468,0.382,0.046,0.18,0,0
347,11,3962.692,318.953,0.382,0.049,0.165,1,2
348,0,6933.214,579.325,0.377,0.051,0.164,1,0
349,10,6063.111,616.468,0.382,0.04,0.184,0,0
350,3,5814.498,438.93,0.382,0.044,0.205,1,0
351,0,5000.541,429.049,0.382,0.046,0.18,1,1
352,11,5569.756,530.119,0.382,0.04,0.169,1,2
353,5,5579.377,1432.601,0.382,0.049,0.165,1,1
354,11,6938.708,583.383,0.382,0.046,0.18,0,0
355,8,7614.297,916.883,0.382,0.04,0.169,0,0
356,11,4717.497,359.467,0.382,0.049,0.165,1,1
357,0,6355.542,829.287,0.382,0.048,0.183,0,0
358,0,8522.782,928.343,0.382,0.046,0.18,0,0
359,11,5665.741,506.061,0.382,0.046,0.159,0,0
360,0,5772.187,629.648,0.382,0.04,0.184,0,0
361,10,5189.139,528.134,0.382,0.046,0.178,1,1
362,10,7774.064,953.963,0.382,0.044,0.205,0,0
363,0,5937.593,779.91,0.382,0.04,0.184,0,0
364,8,3726.593,464.586,0.382,0.046,0.159,1,2
365,2,4457.268,481.075,0.377,0.051,0.164,1,1
366,11,5131.077,497.584,0.382,0.046,0.178,0,0
367,11,4372.954,451.748,0.382,0.04,0.169,0,0
368,11,7989.63,588.013,0.382,0.049,0.165,1,1
369,11,5684.685,478.62,0.382,0.044,0.205,0,0
370,3,6325.979,525.645,0.382,0.046,0.18,1,0
371,11,5712.208,451.364,0.382,0.044,0.205,1,1
372,11,7265.876,627.913,0.382,0.046,0.18,1,0
